,user,Gender,Age,Income,Kmean cluster,Ad,Ad category,Ad type,Cat_rating,Feedback,OCEAN cluster
15120,U0001,F,62,1,6,Cat9_7,9,Image,1,Neg,6
15240,U0001,F,62,1,6,Cat9_8,9,Image,3,Neg,6
15360,U0001,F,62,1,6,Cat9_9,9,Image,1,Neg,6
15480,U0001,F,62,1,6,Cat9_10,9,Image,1,Neg,6
15600,U0001,F,62,1,6,Cat9_11,9,Rich Media,3,Neg,6
15720,U0001,F,62,1,6,Cat9_12,9,Rich Media,1,Neg,6
15840,U0001,F,62,1,6,Cat9_13,9,Rich Media,1,Neg,6
15960,U0001,F,62,1,6,Cat9_14,9,Rich Media,1,Neg,6
16080,U0001,F,62,1,6,Cat9_15,9,Rich Media,1,Neg,6
16200,U0001,F,62,1,6,Cat10_1,10,Text,1,Neg,6
16320,U0001,F,62,1,6,Cat10_2,10,Text,1,Neg,6
16440,U0001,F,62,1,6,Cat10_3,10,Text,2,Neg,6
16560,U0001,F,62,1,6,Cat10_4,10,Text,1,Neg,6
16680,U0001,F,62,1,6,Cat10_5,10,Text,1,Neg,6
16800,U0001,F,62,1,6,Cat10_6,10,Image,1,Neg,6
16920,U0001,F,62,1,6,Cat10_7,10,Image,1,Neg,6
17040,U0001,F,62,1,6,Cat10_8,10,Image,1,Neg,6
17160,U0001,F,62,1,6,Cat10_9,10,Image,1,Neg,6
17280,U0001,F,62,1,6,Cat10_10,10,Image,1,Neg,6
17400,U0001,F,62,1,6,Cat10_11,10,Rich Media,1,Neg,6
17520,U0001,F,62,1,6,Cat10_12,10,Rich Media,2,Neg,6
17640,U0001,F,62,1,6,Cat10_13,10,Rich Media,2,Neg,6
17760,U0001,F,62,1,6,Cat10_14,10,Rich Media,1,Neg,6
17880,U0001,F,62,1,6,Cat10_15,10,Rich Media,2,Neg,6
18000,U0001,F,62,1,6,Cat11_1,11,Text,1,Neg,6
18120,U0001,F,62,1,6,Cat11_2,11,Text,1,Neg,6
18240,U0001,F,62,1,6,Cat11_3,11,Text,1,Neg,6
18360,U0001,F,62,1,6,Cat11_4,11,Text,1,Neg,6
18480,U0001,F,62,1,6,Cat11_5,11,Text,1,Neg,6
18600,U0001,F,62,1,6,Cat11_6,11,Image,1,Neg,6
18720,U0001,F,62,1,6,Cat11_7,11,Image,1,Neg,6
18840,U0001,F,62,1,6,Cat11_8,11,Image,1,Neg,6
18960,U0001,F,62,1,6,Cat11_9,11,Image,1,Neg,6
19080,U0001,F,62,1,6,Cat11_10,11,Image,1,Neg,6
19200,U0001,F,62,1,6,Cat11_11,11,Rich Media,1,Neg,6
19320,U0001,F,62,1,6,Cat11_12,11,Rich Media,3,Neg,6
19440,U0001,F,62,1,6,Cat11_13,11,Rich Media,1,Neg,6
19560,U0001,F,62,1,6,Cat11_14,11,Rich Media,1,Neg,6
19680,U0001,F,62,1,6,Cat11_15,11,Rich Media,1,Neg,6
19800,U0001,F,62,1,6,Cat12_1,12,Text,1,Neg,6
19920,U0001,F,62,1,6,Cat12_2,12,Text,1,Neg,6
20040,U0001,F,62,1,6,Cat12_3,12,Text,1,Neg,6
20160,U0001,F,62,1,6,Cat12_4,12,Text,1,Neg,6
20280,U0001,F,62,1,6,Cat12_5,12,Text,1,Neg,6
20400,U0001,F,62,1,6,Cat12_6,12,Image,1,Neg,6
20520,U0001,F,62,1,6,Cat12_7,12,Image,1,Neg,6
20640,U0001,F,62,1,6,Cat12_8,12,Image,1,Neg,6
20760,U0001,F,62,1,6,Cat12_9,12,Image,1,Neg,6
20880,U0001,F,62,1,6,Cat12_10,12,Image,1,Neg,6
21000,U0001,F,62,1,6,Cat12_11,12,Rich Media,1,Neg,6
21120,U0001,F,62,1,6,Cat12_12,12,Rich Media,1,Neg,6
21240,U0001,F,62,1,6,Cat12_13,12,Rich Media,1,Neg,6
21360,U0001,F,62,1,6,Cat12_14,12,Rich Media,1,Neg,6
21480,U0001,F,62,1,6,Cat12_15,12,Rich Media,1,Neg,6
21600,U0001,F,62,1,6,Cat13_1,13,Text,1,Neg,6
21720,U0001,F,62,1,6,Cat13_2,13,Text,3,Neg,6
21840,U0001,F,62,1,6,Cat13_3,13,Text,1,Neg,6
21960,U0001,F,62,1,6,Cat13_4,13,Text,2,Neg,6
22080,U0001,F,62,1,6,Cat13_5,13,Text,1,Neg,6
22200,U0001,F,62,1,6,Cat13_6,13,Image,1,Neg,6
22320,U0001,F,62,1,6,Cat13_7,13,Image,1,Neg,6
22440,U0001,F,62,1,6,Cat13_8,13,Image,1,Neg,6
22560,U0001,F,62,1,6,Cat13_9,13,Image,1,Neg,6
22680,U0001,F,62,1,6,Cat13_10,13,Image,1,Neg,6
22800,U0001,F,62,1,6,Cat13_11,13,Rich Media,1,Neg,6
22920,U0001,F,62,1,6,Cat13_12,13,Rich Media,1,Neg,6
23040,U0001,F,62,1,6,Cat13_13,13,Rich Media,1,Neg,6
23160,U0001,F,62,1,6,Cat13_14,13,Rich Media,1,Neg,6
23280,U0001,F,62,1,6,Cat13_15,13,Rich Media,1,Neg,6
23400,U0001,F,62,1,6,Cat14_1,14,Text,1,Neg,6
23520,U0001,F,62,1,6,Cat14_2,14,Text,1,Neg,6
23640,U0001,F,62,1,6,Cat14_3,14,Text,1,Neg,6
23760,U0001,F,62,1,6,Cat14_4,14,Text,1,Neg,6
23880,U0001,F,62,1,6,Cat14_5,14,Text,1,Neg,6
24000,U0001,F,62,1,6,Cat14_6,14,Image,1,Neg,6
24120,U0001,F,62,1,6,Cat14_7,14,Image,1,Neg,6
24240,U0001,F,62,1,6,Cat14_8,14,Image,1,Neg,6
24360,U0001,F,62,1,6,Cat14_9,14,Image,1,Neg,6
24480,U0001,F,62,1,6,Cat14_10,14,Image,1,Neg,6
24600,U0001,F,62,1,6,Cat14_11,14,Rich Media,3,Neg,6
24720,U0001,F,62,1,6,Cat14_12,14,Rich Media,1,Neg,6
24840,U0001,F,62,1,6,Cat14_13,14,Rich Media,1,Neg,6
24960,U0001,F,62,1,6,Cat14_14,14,Rich Media,1,Neg,6
25080,U0001,F,62,1,6,Cat14_15,14,Rich Media,1,Neg,6
25200,U0001,F,62,1,6,Cat15_1,15,Text,1,Neg,6
25320,U0001,F,62,1,6,Cat15_2,15,Text,3,Neg,6
25440,U0001,F,62,1,6,Cat15_3,15,Text,4,Pos,6
25560,U0001,F,62,1,6,Cat15_4,15,Text,1,Neg,6
25680,U0001,F,62,1,6,Cat15_5,15,Text,2,Neg,6
25800,U0001,F,62,1,6,Cat15_6,15,Image,1,Neg,6
25920,U0001,F,62,1,6,Cat15_7,15,Image,1,Neg,6
26040,U0001,F,62,1,6,Cat15_8,15,Image,1,Neg,6
26160,U0001,F,62,1,6,Cat15_9,15,Image,1,Neg,6
26280,U0001,F,62,1,6,Cat15_10,15,Image,1,Neg,6
26400,U0001,F,62,1,6,Cat15_11,15,Rich Media,1,Neg,6
26520,U0001,F,62,1,6,Cat15_12,15,Rich Media,1,Neg,6
26640,U0001,F,62,1,6,Cat15_13,15,Rich Media,1,Neg,6
26760,U0001,F,62,1,6,Cat15_14,15,Rich Media,2,Neg,6
26880,U0001,F,62,1,6,Cat15_15,15,Rich Media,3,Neg,6
27000,U0001,F,62,1,6,Cat16_1,16,Text,3,Neg,6
27120,U0001,F,62,1,6,Cat16_2,16,Text,2,Neg,6
27240,U0001,F,62,1,6,Cat16_3,16,Text,3,Neg,6
27360,U0001,F,62,1,6,Cat16_4,16,Text,3,Neg,6
27480,U0001,F,62,1,6,Cat16_5,16,Text,2,Neg,6
27600,U0001,F,62,1,6,Cat16_6,16,Image,1,Neg,6
27720,U0001,F,62,1,6,Cat16_7,16,Image,1,Neg,6
27840,U0001,F,62,1,6,Cat16_8,16,Image,2,Neg,6
27960,U0001,F,62,1,6,Cat16_9,16,Image,1,Neg,6
28080,U0001,F,62,1,6,Cat16_10,16,Image,1,Neg,6
28200,U0001,F,62,1,6,Cat16_11,16,Rich Media,1,Neg,6
28320,U0001,F,62,1,6,Cat16_12,16,Rich Media,2,Neg,6
28440,U0001,F,62,1,6,Cat16_13,16,Rich Media,1,Neg,6
28560,U0001,F,62,1,6,Cat16_14,16,Rich Media,2,Neg,6
28680,U0001,F,62,1,6,Cat16_15,16,Rich Media,3,Neg,6
28800,U0001,F,62,1,6,Cat17_1,17,Text,1,Neg,6
28920,U0001,F,62,1,6,Cat17_2,17,Text,1,Neg,6
29040,U0001,F,62,1,6,Cat17_3,17,Text,1,Neg,6
29160,U0001,F,62,1,6,Cat17_4,17,Text,1,Neg,6
29280,U0001,F,62,1,6,Cat17_5,17,Text,1,Neg,6
29400,U0001,F,62,1,6,Cat17_6,17,Image,1,Neg,6
29520,U0001,F,62,1,6,Cat17_7,17,Image,1,Neg,6
29640,U0001,F,62,1,6,Cat17_8,17,Image,1,Neg,6
29760,U0001,F,62,1,6,Cat17_9,17,Image,1,Neg,6
29880,U0001,F,62,1,6,Cat17_10,17,Image,1,Neg,6
30000,U0001,F,62,1,6,Cat17_11,17,Rich Media,1,Neg,6
30120,U0001,F,62,1,6,Cat17_12,17,Rich Media,2,Neg,6
30240,U0001,F,62,1,6,Cat17_13,17,Rich Media,1,Neg,6
30360,U0001,F,62,1,6,Cat17_14,17,Rich Media,1,Neg,6
30480,U0001,F,62,1,6,Cat17_15,17,Rich Media,1,Neg,6
30600,U0001,F,62,1,6,Cat18_1,18,Text,2,Neg,6
30720,U0001,F,62,1,6,Cat18_2,18,Text,1,Neg,6
30840,U0001,F,62,1,6,Cat18_3,18,Text,1,Neg,6
30960,U0001,F,62,1,6,Cat18_4,18,Text,1,Neg,6
31080,U0001,F,62,1,6,Cat18_5,18,Text,1,Neg,6
31200,U0001,F,62,1,6,Cat18_6,18,Image,1,Neg,6
31320,U0001,F,62,1,6,Cat18_7,18,Image,1,Neg,6
31440,U0001,F,62,1,6,Cat18_8,18,Image,3,Neg,6
31560,U0001,F,62,1,6,Cat18_9,18,Image,1,Neg,6
31680,U0001,F,62,1,6,Cat18_10,18,Image,1,Neg,6
31800,U0001,F,62,1,6,Cat18_11,18,Rich Media,1,Neg,6
31920,U0001,F,62,1,6,Cat18_12,18,Rich Media,1,Neg,6
32040,U0001,F,62,1,6,Cat18_13,18,Rich Media,2,Neg,6
32160,U0001,F,62,1,6,Cat18_14,18,Rich Media,1,Neg,6
32280,U0001,F,62,1,6,Cat18_15,18,Rich Media,1,Neg,6
32400,U0001,F,62,1,6,Cat19_1,19,Text,1,Neg,6
32520,U0001,F,62,1,6,Cat19_2,19,Text,3,Neg,6
32640,U0001,F,62,1,6,Cat19_3,19,Text,1,Neg,6
32760,U0001,F,62,1,6,Cat19_4,19,Text,3,Neg,6
32880,U0001,F,62,1,6,Cat19_5,19,Text,2,Neg,6
33000,U0001,F,62,1,6,Cat19_6,19,Image,1,Neg,6
33120,U0001,F,62,1,6,Cat19_7,19,Image,1,Neg,6
33240,U0001,F,62,1,6,Cat19_8,19,Image,1,Neg,6
33360,U0001,F,62,1,6,Cat19_9,19,Image,1,Neg,6
33480,U0001,F,62,1,6,Cat19_10,19,Image,1,Neg,6
33600,U0001,F,62,1,6,Cat19_11,19,Rich Media,1,Neg,6
33720,U0001,F,62,1,6,Cat19_12,19,Rich Media,1,Neg,6
33840,U0001,F,62,1,6,Cat19_13,19,Rich Media,1,Neg,6
33960,U0001,F,62,1,6,Cat19_14,19,Rich Media,1,Neg,6
34080,U0001,F,62,1,6,Cat19_15,19,Rich Media,1,Neg,6
34200,U0001,F,62,1,6,Cat20_1,20,Text,1,Neg,6
34320,U0001,F,62,1,6,Cat20_2,20,Text,1,Neg,6
34440,U0001,F,62,1,6,Cat20_3,20,Text,1,Neg,6
34560,U0001,F,62,1,6,Cat20_4,20,Text,1,Neg,6
34680,U0001,F,62,1,6,Cat20_5,20,Text,1,Neg,6
34800,U0001,F,62,1,6,Cat20_6,20,Image,1,Neg,6
34920,U0001,F,62,1,6,Cat20_7,20,Image,1,Neg,6
35040,U0001,F,62,1,6,Cat20_8,20,Image,1,Neg,6
35160,U0001,F,62,1,6,Cat20_9,20,Image,1,Neg,6
35280,U0001,F,62,1,6,Cat20_10,20,Image,1,Neg,6
35400,U0001,F,62,1,6,Cat20_11,20,Rich Media,1,Neg,6
35520,U0001,F,62,1,6,Cat20_12,20,Rich Media,1,Neg,6
35640,U0001,F,62,1,6,Cat20_13,20,Rich Media,1,Neg,6
35760,U0001,F,62,1,6,Cat20_14,20,Rich Media,1,Neg,6
35880,U0001,F,62,1,6,Cat20_15,20,Rich Media,1,Neg,6
1,U0002,F,26,1,5,Cat1_1,1,Text,3,Neg,5
121,U0002,F,26,1,5,Cat1_2,1,Text,1,Neg,5
241,U0002,F,26,1,5,Cat1_3,1,Text,1,Neg,5
361,U0002,F,26,1,5,Cat1_4,1,Text,1,Neg,5
481,U0002,F,26,1,5,Cat1_5,1,Text,2,Neg,5
601,U0002,F,26,1,5,Cat1_6,1,Image,1,Neg,5
721,U0002,F,26,1,5,Cat1_7,1,Image,2,Neg,5
841,U0002,F,26,1,5,Cat1_8,1,Image,1,Neg,5
961,U0002,F,26,1,5,Cat1_9,1,Image,1,Neg,5
1081,U0002,F,26,1,5,Cat1_10,1,Image,2,Neg,5
1201,U0002,F,26,1,5,Cat1_11,1,Rich Media,1,Neg,5
1321,U0002,F,26,1,5,Cat1_12,1,Rich Media,1,Neg,5
1441,U0002,F,26,1,5,Cat1_13,1,Rich Media,1,Neg,5
1561,U0002,F,26,1,5,Cat1_14,1,Rich Media,1,Neg,5
1681,U0002,F,26,1,5,Cat1_15,1,Rich Media,1,Neg,5
1801,U0002,F,26,1,5,Cat2_1,2,Text,1,Neg,5
1921,U0002,F,26,1,5,Cat2_2,2,Text,1,Neg,5
2041,U0002,F,26,1,5,Cat2_3,2,Text,1,Neg,5
2161,U0002,F,26,1,5,Cat2_4,2,Text,1,Neg,5
2281,U0002,F,26,1,5,Cat2_5,2,Text,1,Neg,5
2401,U0002,F,26,1,5,Cat2_6,2,Image,3,Neg,5
2521,U0002,F,26,1,5,Cat2_7,2,Image,1,Neg,5
2641,U0002,F,26,1,5,Cat2_8,2,Image,1,Neg,5
2761,U0002,F,26,1,5,Cat2_9,2,Image,1,Neg,5
2881,U0002,F,26,1,5,Cat2_10,2,Image,1,Neg,5
3001,U0002,F,26,1,5,Cat2_11,2,Rich Media,1,Neg,5
3121,U0002,F,26,1,5,Cat2_12,2,Rich Media,1,Neg,5
3241,U0002,F,26,1,5,Cat2_13,2,Rich Media,1,Neg,5
3361,U0002,F,26,1,5,Cat2_14,2,Rich Media,1,Neg,5
3481,U0002,F,26,1,5,Cat2_15,2,Rich Media,1,Neg,5
3601,U0002,F,26,1,5,Cat3_1,3,Text,1,Neg,5
3721,U0002,F,26,1,5,Cat3_2,3,Text,1,Neg,5
3841,U0002,F,26,1,5,Cat3_3,3,Text,1,Neg,5
3961,U0002,F,26,1,5,Cat3_4,3,Text,1,Neg,5
4081,U0002,F,26,1,5,Cat3_5,3,Text,1,Neg,5
4201,U0002,F,26,1,5,Cat3_6,3,Image,1,Neg,5
4321,U0002,F,26,1,5,Cat3_7,3,Image,1,Neg,5
4441,U0002,F,26,1,5,Cat3_8,3,Image,1,Neg,5
4561,U0002,F,26,1,5,Cat3_9,3,Image,1,Neg,5
4681,U0002,F,26,1,5,Cat3_10,3,Image,1,Neg,5
4801,U0002,F,26,1,5,Cat3_11,3,Rich Media,1,Neg,5
4921,U0002,F,26,1,5,Cat3_12,3,Rich Media,1,Neg,5
5041,U0002,F,26,1,5,Cat3_13,3,Rich Media,1,Neg,5
5161,U0002,F,26,1,5,Cat3_14,3,Rich Media,1,Neg,5
5281,U0002,F,26,1,5,Cat3_15,3,Rich Media,1,Neg,5
5401,U0002,F,26,1,5,Cat4_1,4,Text,1,Neg,5
5521,U0002,F,26,1,5,Cat4_2,4,Text,1,Neg,5
5641,U0002,F,26,1,5,Cat4_3,4,Text,1,Neg,5
5761,U0002,F,26,1,5,Cat4_4,4,Text,1,Neg,5
5881,U0002,F,26,1,5,Cat4_5,4,Text,1,Neg,5
6001,U0002,F,26,1,5,Cat4_6,4,Image,1,Neg,5
6121,U0002,F,26,1,5,Cat4_7,4,Image,2,Neg,5
6241,U0002,F,26,1,5,Cat4_8,4,Image,2,Neg,5
6361,U0002,F,26,1,5,Cat4_9,4,Image,1,Neg,5
6481,U0002,F,26,1,5,Cat4_10,4,Image,1,Neg,5
6601,U0002,F,26,1,5,Cat4_11,4,Rich Media,1,Neg,5
6721,U0002,F,26,1,5,Cat4_12,4,Rich Media,1,Neg,5
6841,U0002,F,26,1,5,Cat4_13,4,Rich Media,1,Neg,5
6961,U0002,F,26,1,5,Cat4_14,4,Rich Media,1,Neg,5
7081,U0002,F,26,1,5,Cat4_15,4,Rich Media,1,Neg,5
7201,U0002,F,26,1,5,Cat5_1,5,Text,1,Neg,5
7321,U0002,F,26,1,5,Cat5_2,5,Text,1,Neg,5
7441,U0002,F,26,1,5,Cat5_3,5,Text,1,Neg,5
7561,U0002,F,26,1,5,Cat5_4,5,Text,1,Neg,5
7681,U0002,F,26,1,5,Cat5_5,5,Text,1,Neg,5
7801,U0002,F,26,1,5,Cat5_6,5,Image,3,Neg,5
7921,U0002,F,26,1,5,Cat5_7,5,Image,1,Neg,5
8041,U0002,F,26,1,5,Cat5_8,5,Image,1,Neg,5
8161,U0002,F,26,1,5,Cat5_9,5,Image,1,Neg,5
8281,U0002,F,26,1,5,Cat5_10,5,Image,3,Neg,5
8401,U0002,F,26,1,5,Cat5_11,5,Rich Media,1,Neg,5
8521,U0002,F,26,1,5,Cat5_12,5,Rich Media,1,Neg,5
8641,U0002,F,26,1,5,Cat5_13,5,Rich Media,1,Neg,5
8761,U0002,F,26,1,5,Cat5_14,5,Rich Media,1,Neg,5
8881,U0002,F,26,1,5,Cat5_15,5,Rich Media,1,Neg,5
9001,U0002,F,26,1,5,Cat6_1,6,Text,1,Neg,5
9121,U0002,F,26,1,5,Cat6_2,6,Text,1,Neg,5
9241,U0002,F,26,1,5,Cat6_3,6,Text,3,Neg,5
9361,U0002,F,26,1,5,Cat6_4,6,Text,1,Neg,5
9481,U0002,F,26,1,5,Cat6_5,6,Text,1,Neg,5
9601,U0002,F,26,1,5,Cat6_6,6,Image,1,Neg,5
9721,U0002,F,26,1,5,Cat6_7,6,Image,1,Neg,5
9841,U0002,F,26,1,5,Cat6_8,6,Image,1,Neg,5
9961,U0002,F,26,1,5,Cat6_9,6,Image,3,Neg,5
10081,U0002,F,26,1,5,Cat6_10,6,Image,1,Neg,5
10201,U0002,F,26,1,5,Cat6_11,6,Rich Media,1,Neg,5
